longitude,iso_a3,latitude
-160.027,UMI,-0.385
35.278,PSE,32.037
19.952,ALA,60.198
-69.977,ABW,12.517
-61.783,ATG,17.078
54.163,ARE,23.549
65.216,AFG,33.677
2.632,DZA,28.163
47.395,AZE,40.43
20.068,ALB,41.143
44.563,ARM,40.534
1.576,AND,42.549
17.544,AGO,-12.296
-170.73,ASM,-14.318
-65.167,ARG,-35.377
136.189,AUS,-24.973
14.912,AUT,47.683
-63.032,AIA,18.237
21.304,ATA,-80.446
50.562,BHR,26.019
-59.559,BRB,13.153
23.815,BWA,-22.182
-64.709,BMU,32.336
4.664,BEL,50.643
-68.294,BES,12.212
-78.014,BHS,24.628
89.941,BGD,24.218
-88.602,BLZ,17.219
17.786,BIH,44.169
-64.671,BOL,-16.715
96.041,MMR,21.718
2.469,BEN,10.541
28.047,BLR,53.54
160.109,SLB,-9.611
-53.089,BRA,-10.772
90.429,BTN,27.415
25.231,BGR,42.761
3.412,BVT,-54.422
114.591,BRN,4.468
29.887,BDI,-3.356
-109.433,CAN,59.081
104.564,KHM,12.714
18.665,TCD,15.361
80.704,LKA,7.612
15.986,COG,-0.055
23.654,COD,-2.876
106.514,CHN,33.42
-69.433,CHL,-23.389
-81.198,CYM,19.314
96.839,CCK,-12.173
12.277,CMR,5.133
43.337,COM,-11.758
-73.076,COL,3.9
145.623,MNP,15.005
-83.946,CRI,9.971
20.483,CAF,6.571
-77.781,CUB,21.297
69.01,CUW,12.1833
-23.634,CPV,15.071
-159.782,COK,-21.219
33.219,CYP,35.043
9.264,DNK,56.058
42.516,DJI,11.9
-61.356,DMA,15.475
-70.729,DOM,19.015
-78.497,ECU,-1.385
29.872,EGY,26.494
-8.152,IRL,53.177
10.488,GNQ,1.607
25.793,EST,58.674
38.219,ERI,16.045
-88.866,SLV,13.736
39.616,ETH,8.626
15.338,CZE,49.743
-53.241,GUF,3.924
26.272,FIN,64.504
177.974,FJI,-17.819
-58.694,FLK,-51.665
158.235,FSM,6.883
-6.864,FRO,62.05
-149.462,PYF,-17.626
2.55,FRA,46.565
69.117,ATF,-49.302
-15.386,GMB,13.453
11.797,GAB,-0.591
43.518,GEO,42.176
-1.207,GHA,7.96
-5.345,GIB,36.138
-61.678,GRD,12.118
-2.576,GGY,49.459
-41.391,GRL,74.719
9.851,DEU,51.11
-61.441,GLP,16.286
144.707,GUM,13.385
21.766,GRC,39.666
-90.398,GTM,15.256
-10.942,GIN,10.439
-58.974,GUY,4.792
-72.278,HTI,19.142
114.129,HKG,22.423
73.507,HMD,-53.111
-86.863,HND,14.819
16.693,HRV,45.723
19.134,HUN,47.07
-18.48,ISL,64.764
114.252,IDN,-0.976
-4.527,IMN,54.229
78.5,IND,21.0
72.416,IOT,-7.335
54.301,IRN,32.565
34.851,ISR,31.026
12.8,ITA,42.7
-5.556,CIV,7.632
43.772,IRQ,33.048
139.068,JPN,36.491
-2.129,JEY,49.219
-77.32,JAM,18.151
36.319,JOR,30.703
37.858,KEN,0.53
74.555,KGZ,41.465
126.451,PRK,39.778
175.036,KIR,-1.508
128.103,KOR,36.504
105.704,CXR,-10.444
47.376,KWT,29.476
67.301,KAZ,48.16
102.471,LAO,19.905
35.888,LBN,33.92
25.641,LVA,56.858
23.897,LTU,55.336
-9.657,LBR,6.682
19.491,SVK,48.707
9.555,LIE,47.153
28.243,LSO,-29.581
6.088,LUX,49.771
18.023,LBY,27.044
46.706,MDG,-19.374
-61.021,MTQ,14.653
113.545,MAC,22.2
28.599,MDA,47.193
45.155,MYT,-12.777
102.876,MNG,46.056
-62.187,MSR,16.736
