from,to,from_isoa3,to_isoa3,html,value
Albania,Czech Republic,ALB,CZE,<p>I'm a html popup!</p>,1
Albania,Greece,ALB,GRC,<p>I'm a html popup!</p>,3
Albania,Italy,ALB,ITA,<p>I'm a html popup!</p>,2
Algeria,Denmark,DZA,DNK,<p>I'm a html popup!</p>,1
Algeria,Egypt,DZA,EGY,<p>I'm a html popup!</p>,2
Algeria,Germany,DZA,DEU,<p>I'm a html popup!</p>,1
Algeria,Italy,DZA,ITA,<p>I'm a html popup!</p>,2
Algeria,Luxembourg,DZA,LUX,<p>I'm a html popup!</p>,1
Argentina,Austria,ARG,AUT,<p>I'm a html popup!</p>,1
Argentina,Canada,ARG,CAN,<p>I'm a html popup!</p>,1
Argentina,Chile,ARG,CHL,<p>I'm a html popup!</p>,4
Argentina,France,ARG,FRA,<p>I'm a html popup!</p>,8
Argentina,Germany,ARG,DEU,<p>I'm a html popup!</p>,4
Argentina,Italy,ARG,ITA,<p>I'm a html popup!</p>,5
Argentina,Luxembourg,ARG,LUX,<p>I'm a html popup!</p>,2
Argentina,Netherlands,ARG,NLD,<p>I'm a html popup!</p>,1
Argentina,Spain,ARG,ESP,<p>I'm a html popup!</p>,6
Argentina,United Kingdom,ARG,GBR,<p>I'm a html popup!</p>,4
Argentina,USA,ARG,USA,<p>I'm a html popup!</p>,20
Armenia,USA,ARM,USA,<p>I'm a html popup!</p>,2
Australia,Hong Kong,AUS,HKG,<p>I'm a html popup!</p>,1
Azerbaijan,Netherlands,AZE,NLD,<p>I'm a html popup!</p>,1
Azerbaijan,Turkey,AZE,TUR,<p>I'm a html popup!</p>,1
Bangladesh,Italy,BGD,ITA,<p>I'm a html popup!</p>,1
Belgium,China,BEL,CHN,<p>I'm a html popup!</p>,1
Belize,United Kingdom,BLZ,GBR,<p>I'm a html popup!</p>,3
Bolivia,Bermuda,BOL,BMU,<p>I'm a html popup!</p>,1
Bolivia,Chile,BOL,CHL,<p>I'm a html popup!</p>,1
Bolivia,Luxembourg,BOL,LUX,<p>I'm a html popup!</p>,1
Bolivia,Netherlands,BOL,NLD,<p>I'm a html popup!</p>,3
Bolivia,Spain,BOL,ESP,<p>I'm a html popup!</p>,2
Bolivia,USA,BOL,USA,<p>I'm a html popup!</p>,1
Bosnia and Herzegovina,Austria,BIH,AUT,<p>I'm a html popup!</p>,1
Bosnia and Herzegovina,Slovenia,BIH,SVN,<p>I'm a html popup!</p>,1
Bulgaria,Austria,BGR,AUT,<p>I'm a html popup!</p>,1
Bulgaria,Cyprus,BGR,CYP,<p>I'm a html popup!</p>,1
Bulgaria,Germany,BGR,DEU,<p>I'm a html popup!</p>,1
Bulgaria,Netherlands,BGR,NLD,<p>I'm a html popup!</p>,1
Bulgaria,Sweden,BGR,SWE,<p>I'm a html popup!</p>,1
Burundi,Belgium,BDI,BEL,<p>I'm a html popup!</p>,4
Canada,USA,CAN,USA,<p>I'm a html popup!</p>,23
Chile,Malaysia,CHL,MYS,<p>I'm a html popup!</p>,1
Chile,Spain,CHL,ESP,<p>I'm a html popup!</p>,2
China,Malaysia,CHN,MYS,<p>I'm a html popup!</p>,1
Costa Rica,Canada,CRI,CAN,<p>I'm a html popup!</p>,3
Costa Rica,Germany,CRI,DEU,<p>I'm a html popup!</p>,2
Costa Rica,Spain,CRI,ESP,<p>I'm a html popup!</p>,1
Costa Rica,Switzerland,CRI,CHE,<p>I'm a html popup!</p>,1
Costa Rica,USA,CRI,USA,<p>I'm a html popup!</p>,2
Croatia,Austria,HRV,AUT,<p>I'm a html popup!</p>,2
Croatia,Belgium,HRV,BEL,<p>I'm a html popup!</p>,1
Croatia,Canada,HRV,CAN,<p>I'm a html popup!</p>,1
Croatia,Hungary,HRV,HUN,<p>I'm a html popup!</p>,1
Cyprus,Greece,CYP,GRC,<p>I'm a html popup!</p>,1
Cyprus,Lebanon,CYP,LBN,<p>I'm a html popup!</p>,1
Czech Republic,Canada,CZE,CAN,<p>I'm a html popup!</p>,1
Czech Republic,Croatia,CZE,HRV,<p>I'm a html popup!</p>,1
Czech Republic,Cyprus,CZE,CYP,<p>I'm a html popup!</p>,1
